,Opportunity Name,Opportunity Unique Identifier,Bridge Name,Country,Level 3 Government,Level 4 Government,Stage,Sub-Stage,Individuals Directly Served,River Name,Site Validation,Proposed Bridge Location (GPS) (Latitude),Proposed Bridge Location (GPS) (Longitude),Reason site not valid,Site Validation Comments,Flag for Rejection,Rejection Reason,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Nearest all-weather crossing point,360° with site description video on Box,Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,GPS (Longitude),GPS (Latitude),Waterway or Obstacle Classification,Transportation Route Classification,Environment Classification,Form: Created Date,Level 1 Government,Level 2 Government,geometry,latitude,longitude,priority
116,Côte d'Ivoire - Malekonankro - 1042663,1042663,Malekonankro,Côte d'Ivoire,Gabiadji,Blahou,Identified,,,Menee,Not applicable,4.950102,-6.522414,,,No,,1,5,10.0,1,Membres de la communauté,57.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.522414,4.950102,"mudflat (low point with stagnant water, seasonally)",Walking path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-6.522414 4.950102),4.950102,-6.522414,no
119,Côte d'Ivoire - Bledie - 1042669,1042669,Bledie,Côte d'Ivoire,Dogbo,Bledie,Identified,,,Bas-fonds ba1,Not applicable,4.871268,-7.008401,,,No,,0,3,15.0,3,Président du GSC,51.0,Aucune traversée,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly),"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Achat des unités ou de données - Airtime or data purchase",-7.008401,4.871268,swamp (water year round),Walking path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-7.008401 4.871268),4.871268,-7.008401,no
120,Côte d'Ivoire - Yobouekro - 1042375,1042375,Yobouekro,Côte d'Ivoire,Gabiadji,Fahe yobouekro,Identified,,,Youbouessou,Not applicable,5.005491,-6.60179,,,No,,0,23,7.0,1,Nouvelles demande avec les communautés de yobouekro pour accéder aux plantation.,32.0,5,Non,,,,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.60179,5.005491,River,Walking path,Rural,10/20/22,San Pedro,San-Pédro,POINT (-6.60179 5.005491),5.005491,-6.60179,no
121,Côte d'Ivoire - Grobonou dan - 1042585,1042585,Grobonou dan,Côte d'Ivoire,Gabiadji,Grobonou dan,Rejected,Vehicular Bridge Preferred,,Yaya,Not applicable,5.044427,-6.389075,,Passage réservé aux véhicules,Yes,Passage de véhicules de ramassage,0,0,25.0,3,Membres de la communauté,18.0,2,Non,,École Secondaire - Secondary school;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,,-6.389075,5.044427,"mudflat (low point with stagnant water, seasonally)",Walking path,Rural,10/25/22,San Pedro,San-Pédro,POINT (-6.389075 5.044427),5.044427,-6.389075,no
122,Côte d'Ivoire - Grand domaine nouvelles demande - 1042531,1042531,Grand domaine nouvelles demande,Côte d'Ivoire,Gabiadji,Gnity,Identified,,,Menegbe affluent,Not applicable,5.176807,-6.548294,,,No,,0,4,10.0,1,Membres de la communauté nouvelles demande,62.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Achat des unités ou de données - Airtime or data purchase,-6.548294,5.176807,swamp (water year round),Walking path,Rural,10/24/22,San Pedro,San-Pédro,POINT (-6.548294 5.176807),5.176807,-6.548294,no
123,Côte d'Ivoire - Blahou - 1042668,1042668,Blahou,Côte d'Ivoire,Gabiadji,Blahou,Identified,,,Menee,Not applicable,4.913369,-6.550327,,,No,,0,Bloqué les activités agricoles et le passage des enfants et élèves,10.0,1,Membres de la communauté,51.0,5,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.550327,4.913369,swamp (water year round),Walking path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-6.550327 4.913369),4.913369,-6.550327,yes
124,Côte d'Ivoire - Grobonou dan - 1042587,1042587,Grobonou dan,Côte d'Ivoire,Gabiadji,Grobonou dan,Identified,,,Vieux Abel,Not applicable,5.045179,-6.376001,,,Yes,Aucune possibilité de construire un Pont,0,Aucune,7.0,1,Un grand Bas-fonds de plus de 500 mètres,200.0,0'7,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily),"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.376001,5.045179,"mudflat (low point with stagnant water, seasonally)",Walking path,Rural,10/25/22,San Pedro,San-Pédro,POINT (-6.376001 5.045179),5.045179,-6.376001,no
125,Côte d'Ivoire - Sarakakro - 1042530,1042530,Sarakakro,Côte d'Ivoire,Gabiadji,Gnity,Identified,,,Menegbe,Not applicable,5.179441,-6.542864,,,No,,0,5,60.0,7,Membres de la communauté,22.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly),Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Achat des unités ou de données - Airtime or data purchase,-6.542864,5.179441,River,Walking path,Rural,10/24/22,San Pedro,San-Pédro,POINT (-6.542864 5.179441),5.179441,-6.542864,no
126,Côte d'Ivoire - Mossikro 3 - 1040866,1040866,Mossikro 3,Côte d'Ivoire,GRAND BEREBY,Mossikro Test,Identified,,,Hannie,Not applicable,4.719692,-6.939936,,,Yes,Toute la zone est inondable,0,7,10.0,7,Existence d un GSC,,1,Oui,,,,,-6.939936,4.719692,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,6/30/22,San Pedro,San-Pédro,POINT (-6.939936 4.719692),4.719692,-6.939936,no
128,Côte d'Ivoire - Jbkro - 1043648,1043648,Jbkro,Côte d'Ivoire,Grabo,Siahé,Identified,,,Tignrin,Not applicable,4.884223,-7.502193,,Site très inondable situé dans un bas fond entouré par la droite d une palmeraie et sur la gauche par un champ d hévéa et champ de manioc. Il y a 4 petits ponts sur la traversée séparés de 64m entre les 2 rives,No,,0,15,180.0,5,Visite de famille. Nous sommes accompagnés par le Chef du village de Siahé,36.0,5,Non,,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.502193,4.884223,River,Walking path,Rural,12/2/22,San Pedro,Tabou,POINT (-7.502193 4.884223),4.884223,-7.502193,no
129,Côte d'Ivoire - Camp Niré - 1043462,1043462,Camp Niré,Côte d'Ivoire,DJOUROUTOU,Mahino1,Identified,,,Gbenobo,Not applicable,5.115662,-7.412929,,Site inondable dans un ravin entre deux champs de palmiers à huile surchaque côté des deux rives. Passage fermé par la broussaille et sous une moyenne tension a été abandonné à cause de la route vehiculaire qui est à 300m,No,,0,5,120.0,3,Visite de famille. Nous sommes accompagnés par le Chef du village de Mahino1,20.0,"1,5",Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.412929,5.115662,"mudflat (low point with stagnant water, seasonally)",Walking path,Rural,11/23/22,San Pedro,Tabou,POINT (-7.412929 5.115662),5.115662,-7.412929,no
130,Côte d'Ivoire - Lobikro 2 - 1043240,1043240,Lobikro 2,Côte d'Ivoire,DJOUROUTOU,Hannié,Identified,,,Hannié,Not applicable,5.189872,-7.344136,,Site inondable et situé dans un bas fond au milieu d'une plantation de palmiers,No,,0,10,90.0,5,Visite de famille,19.0,Aucun passage possible pendant l inondation,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.344136,5.189872,River,Walking path,Rural,11/15/22,San Pedro,Tabou,POINT (-7.344136 5.189872),5.189872,-7.344136,no
131,Côte d'Ivoire - Palmeraie 3 - 1043422,1043422,Palmeraie 3,Côte d'Ivoire,DJOUROUTOU,Mahino 3,Identified,,,Mahino,Not applicable,5.108889,-7.414048,No sign of pedestrian traffic,Site inondable en bordure de la rivière Mahino. Délimité à droite par un champ de palmiers à huile et délimité à gauche par des habitations sur côte à Mahino1. Le pont reliera les 2 villages de Mahino1 et Mahino3,No,,1,15,120.0,7,Il y a un pont en bois qui servait de pont en saison sèche. Mais depuis que le pont vehiculaire a été construit à près de 500m de là la traversée à été abandonnée.,14.0,1,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.414048,5.108889,River,Walking path,Rural,11/21/22,San Pedro,Tabou,POINT (-7.414048 5.108889),5.108889,-7.414048,no
132,Côte d'Ivoire - Cité 1 - 1043146,1043146,Cité 1,Côte d'Ivoire,DJOUROUTOU,Hannié,Identified,,,Hannié,Not applicable,5.197971,-7.356426,,Site très inondable et situé dans un bas fond,No,,0,3,90.0,7,Visite de famille,20.0,"0,500",Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.356426,5.197971,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,11/10/22,San Pedro,Tabou,POINT (-7.356426 5.197971),5.197971,-7.356426,no
133,Côte d'Ivoire - Route Dewoulinké 2 - 1044874,1044874,Route Dewoulinké 2,Côte d'Ivoire,Tabou,Niplou,Identified,,,Tabou,Not applicable,4.786564,-7.388726,,Site très inondable situé à la descente d une sur la rive gauche et un champ de cacaoyers sur la rive droite,No,,1,12,120.0,9,Visite de famille. Nous sommes accompagnés par le porte parole du chef de terre de Niplou,20.0,Aucun détour possible pendant les inondations,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.388726,4.786564,River,Walking path,Rural,2/22/23,San Pedro,Tabou,POINT (-7.388726 4.786564),4.786564,-7.388726,no
134,Côte d'Ivoire - Gbapet - 1044880,1044880,Gbapet,Côte d'Ivoire,Olodio,Gbapet (Olodio),Identified,,,Bibro,Not applicable,4.717409,-7.512782,,Site très inondable situé dans un grand et long bas fond. Passage vehiculaire et piéton,No,,0,5,5.0,120,Visite de famille. Nous sommes accompagnés par le Secrétaire à la communication du GSC de Olodio,83.0,4,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.512782,4.717409,swamp (water year round),non-graded road or car/vehicle accessible path,Rural,2/24/23,San Pedro,Tabou,POINT (-7.512782 4.717409),4.717409,-7.512782,no
135,Côte d'Ivoire - Taniplou - 1044882,1044882,Taniplou,Côte d'Ivoire,Olodio,Taniplou,Identified,,,Mnon,Not applicable,4.690031,-7.505703,,Site inondable situé dans un bas fond. Entouré de champ d hévéa sur la rive droite et des champs de palmiers à huile et hévéa sur la rive gauche. Passage vehiculaire et piéton,No,,1,5,120.0,4,Visite de famille. Nous sommes accompagnés par le Secrétaire à la Communication du GSC de Olodio,42.0,6,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.505703,4.690031,River,non-graded road or car/vehicle accessible path,Rural,2/24/23,San Pedro,Tabou,POINT (-7.505703 4.690031),4.690031,-7.505703,no
136,Côte d'Ivoire - Dewoulinké - Niplou - 1044875,1044875,Dewoulinké - Niplou,Côte d'Ivoire,Tabou,Niplou,Identified,,,Nonhouan,Not applicable,4.776804,-7.390287,,Site inondable situé entre un champ d hévéa sur la rive gauche et un champdepalmiersàhuilesurlarivedroite. Passage vehiculaire et piéton,No,,0,7,120.0,5,Visite de famille. Nous sommes accompagnés par le porte parole du chef de terre de Niplou,19.0,Aucun détour possible pendant les inondations,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.390287,4.776804,River,non-graded road or car/vehicle accessible path,Rural,2/22/23,San Pedro,Tabou,POINT (-7.390287 4.776804),4.776804,-7.390287,no
137,Côte d'Ivoire - Campement Lobi - 1044872,1044872,Campement Lobi,Côte d'Ivoire,Tabou,Mané,Identified,,,Ninh,Not applicable,4.678063,-7.390828,,Site inondable situé entre le village de Mané sur la rive gauche et des champs d hévéa et palmiers à huile sur la rive droite,No,,0,10,120.0,5,Visite de famille. Nous sommes accompagnés par le Secrétaire général du GSC de Mané,67.0,2,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms;Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.390828,4.678063,River,Walking path,Rural,2/22/23,San Pedro,Tabou,POINT (-7.390828 4.678063),4.678063,-7.390828,no
138,Côte d'Ivoire - Route Dewoulinké1 - 1044873,1044873,Route Dewoulinké1,Côte d'Ivoire,Tabou,Niplou,Identified,,,Niplou,Not applicable,4.792747,-7.391872,,Site inondable situé dans un bas fond,No,,0,5,120.0,3,Visite de famille. Nous sommes accompagnés par le porte du chef de terre de Niplou,22.0,Aucun détour possible pendant les inondations,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.391872,4.792747,swamp (water year round),Walking path,Rural,2/22/23,San Pedro,Tabou,POINT (-7.391872 4.792747),4.792747,-7.391872,no
139,Côte d'Ivoire - Ouamké - 1044883,1044883,Ouamké,Côte d'Ivoire,Olodio,Hiroutou,Identified,,,Mnon,Not applicable,4.677082,-7.517664,,Site inondable situé entre des champs de cacaoyers et hévéa sur la rive droite et des champs de palmiers à huile et hévéa sur la rive gauche.passage vehiculaire et piéton,No,,0,7,120.0,7,2 ponts alignés 1er en bois construit par la communauté et Pont de béton construit par une coopérative agricole d huile de palme. Visite de famille. Nous sommes accompagnés par le Secrétaire à la Communication du GSC de Olodio,77.0,Aucun détour possible pendant les inondations,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.517664,4.677082,River,non-graded road or car/vehicle accessible path,Rural,2/24/23,San Pedro,Tabou,POINT (-7.517664 4.677082),4.677082,-7.517664,no
140,Côte d'Ivoire - Iboké - 1044884,1044884,Iboké,Côte d'Ivoire,Olodio,Tepo - Iboké,Identified,,,Bouhô,Not applicable,4.647195,-7.452317,,Site inondable situé dans un bas fond entouré de bambous de Chine,No,,0,6,120.0,4,Pont avec buses métalliques recouvert de terre construit par l État. Passage vehiculaire et piéton,51.0,10,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.452317,4.647195,River,graded road /marram - two lanes,Rural,2/24/23,San Pedro,Tabou,POINT (-7.452317 4.647195),4.647195,-7.452317,no
141,Côte d'Ivoire - Merê - 1044879,1044879,Merê,Côte d'Ivoire,Olodio,Merê,Identified,,,Poupouho,Not applicable,4.726711,-7.500557,,Site inondable situé dans un bas fond à la descente d une côte sur la rive gauche avec un champ de palmiers à huile et broussaille. Sur la rive droite des champs d hévéa et palmiers à huile sur la rive droite. Passage vehiculaire et piéton,No,,0,5,120.0,5,Pont avec buses recouvert de terre construit par une coopérative agricole . Nous sommes accompagnés par le Secrétaire à la Communication du GSC de Olodio,41.0,7,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.500557,4.726711,swamp (water year round),non-graded road or car/vehicle accessible path,Rural,2/24/23,San Pedro,Tabou,POINT (-7.500557 4.726711),4.726711,-7.500557,no
142,Côte d'Ivoire - Route Merê - Gbapet - 1044881,1044881,Route Merê - Gbapet,Côte d'Ivoire,Olodio,Merê,Identified,,,Nadoyou,Not applicable,4.726307,-7.507151,,Site inondable situé à la sortie du village Merê en allant à Gbapet dans une descente de côtes. Passage vehiculaire et piéton,No,,1,7,120.0,3,Visite de famille. Nous sommes accompagnés par le Secrétaire à la Communication du GSC de Olodio,11.0,5,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.507151,4.726307,River,non-graded road or car/vehicle accessible path,Rural,2/24/23,San Pedro,Tabou,POINT (-7.507151 4.726307),4.726307,-7.507151,no
