,FID_,Shape__,Niveau,IEP,Region,Departemen,S_pref,Commune,Villages,Nature_loc,Nom_Etab,Coord_x,Coord_y,Source_coo,Statut,Regime_ét,Milieu,Ordre_ens,Type_conf,eco_pt_eau,Elec_ecole,Elec_local,Eligible_c,Coges,T_cp1,TF_cp1,T_cp2,Tf_cp2,T_ce1,Tf_ce1,T_ce2,Tf_ce2,T_cm1,Tf_cm1,T_cm2,Tf_cm2,Aire_total,Aire_Inf_3,Aire_3_5,Aire_Sup_5,Ce2_18_19,Cm1_18_19,Cm2_18_19,Cm1_19_20,Cm2_19_20,Cm2_20_21,Aire,Prj_cm2_21,Densit_prj,Ponde,Clas_den_p,geometry
66,66,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,GOLIBLENOU,Un village,EPP GOLIBLENOU,243125,830607,ecole,Public,-1,2,-1,-1,1,1,2,2,2,38,20,39,22,54,32,47,26,42,16,44,19,264,264,0,0,56.576856,48.022105,46.669756,55.294223,52.913772,58.780792,264,3,0.7488,21,1,POINT (243125 830607)
67,67,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,0,KANOUKRO,Un village,EPP KANOUKRO,280405,830680,ecole,Public,-1,2,-1,-1,1,2,1,2,2,32,18,34,20,37,20,38,20,50,20,59,27,250,201,49,0,40.360011,38.835833,53.026214,40.465842,42.96091,44.03011,250,3,0.560893,21,1,POINT (280405 830680)
68,68,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,0,KOUABO,Un village,EPP KOUABO,285261,830710,ecole,Public,-1,2,-1,-1,1,2,1,2,1,45,26,18,13,25,13,22,9,17,9,19,9,146,146,0,0,33.766328,26.662426,25.29391,37.707925,33.476339,44.507455,146,3,0.566974,18,1,POINT (285261 830710)
69,69,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,DJEBONOUA VILLAGE,Un village,EPP NANAN KOUADIO KONAN A,270103,830719,ecole,Public,-1,2,-1,-1,1,1,2,2,2,24,14,22,14,25,10,28,13,25,15,27,16,151,151,0,0,26.335345,27.715887,25.927849,25.856311,29.583335,27.618974,151,2,0.351834,21,1,POINT (270103 830719)
70,70,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,DJEBONOUA VILLAGE,Un village,EPP NANAN KOUADIO KONAN B,270103,830719,ecole,Public,-1,2,-1,-1,1,1,2,2,2,20,11,22,5,17,12,28,16,19,14,17,5,123,81,42,0,25.569635,31.713244,26.655425,29.966358,37.963227,36.716325,123,2,0.467724,21,1,POINT (270103 830719)
71,71,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,ANDO,Un village,EPP ANDO,215486,830899,ecole,Public,-1,2,-1,-1,1,1,2,2,2,18,9,41,25,26,13,26,13,27,11,16,7,154,154,0,0,26.286923,26.402407,27.029249,25.213515,28.690088,26.470904,154,2,0.337209,21,1,POINT (215486 830899)
72,72,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,MLAN-KOUASSIKRO,Un village,EPP MLAN-KOUASSIKRO,282299,831357,ecole,Public,-1,2,-1,-1,1,2,2,2,1,33,20,31,23,27,13,35,18,22,12,10,2,158,148,10,0,31.875799,37.587357,25.771408,33.616443,42.765236,38.287007,158,2,0.487733,18,1,POINT (282299 831357)
73,73,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,N'DREBO,Un village,EPP N'DREBO,224512,831560,ecole,Public,-1,2,-1,-1,1,1,1,2,2,70,31,50,22,61,23,59,27,64,22,61,26,365,272,93,0,51.75369,48.574499,56.053951,42.608637,42.543635,37.318476,365,2,0.475395,21,1,POINT (224512 831560)
74,74,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,SOKPA,Un village,EPP SOKPA-KPALEBO,215374,831747,ecole,Public,-1,2,-1,-1,1,1,2,2,2,47,20,47,19,54,30,30,12,28,11,23,11,229,229,0,0,50.683317,27.696915,26.734577,45.53414,27.621265,44.223354,229,3,0.563355,21,1,POINT (215374 831747)
75,75,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,TIESSOU,Un village,EPP TIESSOU,207001,831879,ecole,Public,-1,2,-1,-1,1,1,2,2,2,32,24,35,17,51,24,27,12,0,0,0,0,145,145,0,0,45.703766,22.229008,0.0,39.364677,19.469121,36.259125,145,2,0.4619,21,1,POINT (207001 831879)
76,76,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,ZEDE BOSSI,Un village,EPP ZEDE BOSSI,230566,832282,ecole,Public,-1,2,-1,-1,1,1,2,2,2,28,14,34,14,26,18,30,15,36,19,40,17,194,194,0,0,28.59309,31.472196,36.862695,28.95495,35.206706,31.908288,194,2,0.406475,21,1,POINT (230566 832282)
77,77,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,TOLLA-TANOUKRO,Un village,EPP NANAN TOLLA,269170,832349,ecole,Public,-1,2,-1,-1,2,1,1,2,2,32,17,30,9,24,13,30,12,14,5,34,5,164,157,7,0,26.640007,28.585217,19.284893,26.843585,29.936406,29.186061,164,2,0.371797,21,1,POINT (269170 832349)
78,78,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,KANOUA,Un village,EPP KANOUA,266015,832420,ecole,Public,-1,2,-1,-1,1,1,1,2,2,24,10,33,14,39,19,25,12,25,5,17,8,163,160,3,0,37.188278,24.912884,25.017449,34.02317,26.668212,33.923819,163,2,0.432151,21,1,POINT (266015 832420)
79,79,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,DEKRETA,Un village,EPP DEKRETA,216289,832606,ecole,Public,-1,2,-1,-1,1,1,2,2,2,51,24,33,10,32,15,24,8,20,10,25,8,185,185,0,0,29.071283,19.759118,17.51686,25.305542,17.305885,23.570404,185,2,0.30026,21,1,POINT (216289 832606)
80,80,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,0,MOLOUKRO,Un village,EPP MOLOUKRO,255383,832708,ecole,Public,-1,2,-1,-1,2,2,2,2,2,88,45,68,40,89,41,54,29,65,32,33,14,397,290,107,0,77.94377,45.346318,58.100309,66.006398,40.779766,59.832592,397,3,0.762199,21,1,POINT (255383 832708)
81,81,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,DIANHOUN,Un village,EPP DIANHOUN,229351,834123,ecole,Public,-1,2,-1,-1,1,1,2,2,2,26,14,19,11,37,17,26,15,34,13,32,19,174,174,0,0,37.925723,25.847219,35.371123,36.379558,27.921834,37.838754,174,2,0.482022,21,1,POINT (229351 834123)
82,82,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,BONIKRO,Un village,EPP BONIKRO,222360,834133,ecole,Public,-1,2,-1,-1,1,1,2,2,2,28,11,28,15,16,10,21,8,24,6,19,6,136,136,0,0,17.29023,19.176869,22.190747,17.095678,18.884626,18.179464,136,1,0.231586,21,1,POINT (222360 834133)
83,83,Point,PRIMAIRE,BOUAKE-KOKO,GBÊKÊ,BOUAKE,BOUAKE,0,SESSEKRO,Un village,EPP SESSEKRO,272992,834165,ecole,Public,-1,2,-1,-1,1,1,2,2,2,38,14,37,20,40,19,29,18,22,13,30,17,196,196,0,0,38.933542,29.20541,23.040206,36.210923,31.537552,36.754585,196,2,0.468211,21,1,POINT (272992 834165)
84,84,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,SESSEKRO,Un village,EPP SESSEKRO,272992,834165,ecole,Public,-1,2,-1,-1,1,1,2,2,2,60,26,57,34,38,20,48,28,28,17,32,16,263,263,0,0,34.674291,42.183141,26.474462,30.580053,39.933365,29.257285,263,2,0.372704,21,1,POINT (272992 834165)
85,85,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,POKOUKRO,Un village,EPP POKOUKRO,286692,834180,ecole,Public,-1,2,-1,-1,1,1,1,2,2,45,20,37,19,32,16,30,17,24,14,17,8,185,83,102,0,33.171136,28.696254,21.020232,32.050137,29.234163,33.467287,185,2,0.426335,21,1,POINT (286692 834180)
86,86,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,N'GBRENZUE,Un village,EPP N'GBRENZUE,276248,834207,ecole,Public,-1,2,-1,-1,1,1,2,2,2,59,34,45,18,35,14,42,21,60,33,49,20,290,271,19,0,35.588279,39.908266,57.882926,34.096698,41.114552,35.585725,290,2,0.453321,21,1,POINT (276248 834207)
87,87,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,MANDANOU,Un village,EPP MANDANOU,219440,834302,ecole,Public,-1,2,-1,-1,1,1,2,2,2,55,29,67,34,62,26,45,17,36,18,32,13,297,297,0,0,58.880011,41.489854,34.391607,53.448318,41.267114,52.554547,297,3,0.669485,21,1,POINT (219440 834302)
88,88,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,0,TIEPLE,Un village,EPC TIEPLE,279087,834465,ecole,Privé,-1,2,0,0,1,2,1,0,1,33,18,23,10,22,13,11,5,23,14,12,7,124,124,0,0,21.868275,12.609468,25.216621,20.68404,15.348706,21.425123,124,2,0.272931,12,1,POINT (279087 834465)
89,89,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ASSABOU-KOUASSIKRO,Un village,EPP ASSABOU-KOUASSIKRO,245189,834478,ecole,Public,-1,2,-1,-1,2,1,1,2,1,62,20,48,20,50,28,18,9,41,12,11,2,230,230,0,0,47.033392,19.482921,40.72168,42.531275,22.474039,41.861697,230,3,0.53327,18,1,POINT (245189 834478)
90,90,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,ATTOHOU,Un village,EPP ATTOHOU,268659,835508,ecole,Public,-1,2,-1,-1,1,1,1,2,2,6,4,19,13,13,8,10,2,12,8,5,0,65,65,0,0,13.976244,9.232305,11.290459,13.720148,9.212727,14.434037,65,1,0.183873,21,1,POINT (268659 835508)
91,91,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,KOUAKOU KOUADIOKRO,Un village,EPP KOUAKOU KOUADIOKRO,313722,835622,ecole,Public,-1,2,-1,-1,1,2,1,2,2,7,4,14,9,16,6,7,4,11,5,0,0,55,55,0,0,21.261963,11.425998,15.746963,23.618716,16.611776,27.817187,55,2,0.354359,21,1,POINT (313722 835622)
92,92,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,-1,GBANKOKORENOU,Un village,EPP GBANKOKORENOU,258612,835661,ecole,Public,-1,2,-1,-1,1,2,2,2,1,14,5,15,8,0,0,0,0,0,0,0,0,29,29,0,0,3.20301,1.44349,3.511546,5.082733,3.201799,7.21263,29,1,0.091881,18,1,POINT (258612 835661)
93,93,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,LOKASSOU,Un village,EPP LOKASSOU,273541,835839,ecole,Public,-1,2,-1,-1,1,1,2,2,1,22,11,23,13,24,16,33,18,17,8,21,11,140,140,0,0,28.177452,31.943408,18.140762,29.304997,33.2984,32.623156,140,2,0.415582,18,1,POINT (273541 835839)
94,94,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ADJOUGOUANSOU,Un village,EPP ADJOUGOUANSOU,248663,835883,ecole,Public,-1,2,-1,-1,1,1,1,2,1,37,20,44,20,43,24,37,14,38,19,50,25,249,196,53,0,37.635193,31.683389,34.452549,31.943302,29.154915,29.143243,249,2,0.371252,18,1,POINT (248663 835883)
95,95,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,0,N'GUESSAN POKOUKRO,Un village,EPP N'GUESSAN POKOUKRO1,258070,835890,ecole,Public,-1,2,-1,-1,2,2,2,2,2,51,23,52,28,52,25,60,25,51,23,47,19,313,256,57,0,45.911585,51.396474,46.748908,39.300618,47.336255,36.263645,313,2,0.461957,21,1,POINT (258070 835890)
96,96,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,-1,N'GUESSAN POKOUKRO,Un village,EPP N'GUESSAN POKOUKRO2,258049,835926,ecole,Public,-1,2,-1,-1,2,2,2,2,2,77,44,41,17,58,29,40,20,41,16,54,30,311,210,51,50,53.56452,36.040919,38.38065,47.552886,35.077041,45.648196,261,3,0.581506,21,1,POINT (258049 835926)
97,97,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,ASSANDRE,Un village,EPP ASSANDRE,278453,836855,ecole,Public,-1,2,-1,-1,1,2,2,2,2,51,26,38,17,48,24,43,26,38,22,34,15,252,214,38,0,49.692643,40.953638,43.556556,47.927439,42.900719,50.08856,252,3,0.638071,21,1,POINT (278453 836855)
98,98,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,KANGARE,Un village,EPP KAN-GARE,284246,836879,ecole,Public,-1,2,-1,-1,1,1,2,2,2,62,30,57,32,54,29,52,24,48,25,34,13,307,307,0,0,47.480307,44.699064,43.991322,40.488395,41.33955,37.180507,307,2,0.473637,21,1,POINT (284246 836879)
99,99,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,0,M'BRAKRO,Un village,EPP M'BRAKRO,280780,836946,ecole,Public,-1,2,-1,-1,1,2,2,2,2,26,12,22,9,27,18,34,14,30,17,25,12,164,164,0,0,29.441512,32.211516,31.867751,29.369876,33.26814,31.644448,164,2,0.403114,21,1,POINT (280780 836946)
100,100,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,-1,PRONOU,Un village,EPP PRONOU,312020,837109,ecole,Public,-1,2,-1,-1,1,2,1,2,2,27,13,21,12,35,8,20,14,13,3,15,4,131,131,0,0,33.282112,21.684703,15.807905,30.540204,24.921258,30.739865,131,2,0.391591,21,1,POINT (312020 837109)
101,101,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,ABOUAKRO,Un village,EPP ABOUAKRO 2,220540,837175,ecole,Public,-1,2,-1,-1,1,1,2,2,2,37,21,46,19,35,18,46,21,39,23,46,15,249,249,0,0,35.716399,40.314472,39.360166,33.973032,38.491757,34.854955,249,2,0.444012,21,1,POINT (220540 837175)
102,102,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,ABOUAKRO,Un village,EPP ABOUAKRO 1,220540,837250,ecole,Public,-1,2,-1,-1,1,1,2,2,2,25,13,29,17,0,0,0,0,0,0,0,0,54,54,0,0,0.0,0.0,0.0,0.0,0.0,0.0,54,1,0.0,21,1,POINT (220540 837250)
103,103,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,ASSENGOU,Un village,EPP ASSENGOU,273946,837305,ecole,Public,-1,2,-1,-1,2,1,2,2,2,11,5,16,8,14,7,20,10,12,5,21,10,94,94,0,0,18.540157,22.573004,14.932062,20.695844,26.610549,24.588212,94,2,0.313226,21,1,POINT (273946 837305)
104,104,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,0,FOTOKOUAMEKRO,Un village,EPP FOTOKOUAMEKRO2,264649,837377,ecole,Public,-1,2,-1,-1,2,1,2,2,2,36,15,60,30,70,36,49,15,50,20,29,14,294,243,36,15,59.38948,40.341533,43.792149,48.895157,35.332849,42.824481,279,3,0.545535,21,1,POINT (264649 837377)
105,105,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,-1,FOTOKOUAMEKRO,Un village,EPP FOTOKOUAMEKRO1,264650,837401,ecole,Public,-1,2,-1,-1,2,1,2,2,2,41,19,49,24,60,31,52,29,29,13,25,7,256,215,36,5,56.926928,47.475006,30.341622,51.682176,47.007625,50.910246,251,3,0.648538,21,1,POINT (264650 837401)
106,106,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,0,KONGOKRO,Un village,EPP KONGOKRO,290385,837914,ecole,Public,-1,2,-1,-1,2,2,1,2,2,33,17,21,13,28,15,25,9,24,13,21,9,152,152,0,0,33.364822,28.355052,28.043323,35.188471,33.721658,39.894396,152,2,0.508209,21,1,POINT (290385 837914)
107,107,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,MONEBO,Un village,EPP MONEBO,232155,838013,ecole,Public,-1,2,-1,-1,1,1,1,2,1,22,9,37,15,27,12,0,0,0,0,0,0,86,86,0,0,27.775946,4.219432,7.153148,26.810202,8.954448,28.209815,86,2,0.359361,18,1,POINT (232155 838013)
108,108,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,-1,KOMOKONOUAN,Un village,EPP KOMOKONOUAN,251194,838374,ecole,Public,-1,2,-1,-1,1,1,1,2,1,32,15,50,21,52,20,41,16,47,16,40,19,262,153,109,0,48.730234,36.197989,43.375594,43.681692,34.497322,42.276023,262,3,0.538548,18,1,POINT (251194 838374)
109,109,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,0,RAFFIERKRO,Un village,EPP RAFFIERKRO 1,277299,838385,ecole,Public,-1,2,-1,-1,2,2,2,2,2,21,9,25,13,31,14,12,5,26,8,24,14,139,90,47,2,37.575651,18.42946,33.04644,39.929958,26.248639,45.513592,137,3,0.579791,21,1,POINT (277299 838385)
110,110,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,RAFFIERKRO,Un village,EPP RAFFIERKRO 2,277336,838392,ecole,Public,-1,2,-1,-1,2,2,2,2,2,30,16,28,13,35,15,24,13,22,6,31,19,170,100,63,7,40.584975,29.197321,29.022839,42.231908,36.523212,47.459299,163,3,0.604577,21,1,POINT (277336 838392)
111,111,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BOUAKE,0,YAPIKRO,Un village,EPP YAPIKRO,310631,838555,ecole,Public,-1,2,-1,-1,1,2,1,2,2,33,17,39,22,37,17,48,23,47,14,36,11,240,228,0,12,33.82587,39.518237,41.16462,29.585646,34.61177,27.694229,228,2,0.352793,21,1,POINT (310631 838555)
112,112,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,DIEVIESSOU,Un village,EPP DIEVIESSOU 1,212262,838783,ecole,Public,-1,2,-1,-1,2,2,2,2,2,54,29,59,27,67,31,62,31,45,22,45,17,332,321,11,0,60.559709,54.153444,42.014079,52.854916,50.957684,49.825234,332,3,0.634716,21,1,POINT (212262 838783)
113,113,Point,PRIMAIRE,BOUAKE N'GATTAKRO,GBÊKÊ,BOUAKE,BOUAKE,0,LOMIBO,Un village,EPP LOMIBO,272777,838951,ecole,Public,-1,2,-1,-1,1,1,1,2,1,31,10,17,10,13,8,19,6,0,0,0,0,80,80,0,0,15.257448,19.528954,5.332347,16.009692,21.784648,18.168169,80,1,0.231442,18,1,POINT (272777 838951)
114,114,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,KPO-KAHANKRO,Un village,EPP KPO-KAHANKRO,274569,838993,ecole,Public,-1,2,-1,-1,1,1,1,2,1,23,15,17,12,18,8,21,11,15,8,0,0,94,94,0,0,24.49625,24.506678,18.860164,27.551108,29.612389,32.764606,94,2,0.417384,18,1,POINT (274569 838993)
115,115,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,-1,SOLABONIBROUKRO,Un village,EPP SOLABONIBROUKRO,253684,839102,ecole,Public,-1,2,-1,-1,1,1,1,2,1,72,29,69,42,66,29,59,29,26,12,43,14,335,335,0,0,61.504973,52.460818,24.852834,54.999292,50.204918,53.199753,335,3,0.677704,18,1,POINT (253684 839102)
116,116,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,KALOUKRO,Un village,EPP KALOUKRO,288181,839139,ecole,Public,-1,2,-1,-1,1,1,2,2,2,44,22,42,14,52,32,30,19,40,22,25,7,233,233,0,0,48.089632,26.475501,36.334292,42.623226,25.180086,40.699887,233,3,0.51847,21,1,POINT (288181 839139)
117,117,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,SANHOUNTY,Un village,EPP SANHOUNTY,234018,839316,ecole,Public,-1,2,-1,-1,1,1,1,2,2,62,26,54,30,31,15,49,25,39,23,35,18,270,270,0,0,31.041511,43.894739,37.149193,29.333337,42.479053,30.090728,270,2,0.383321,21,1,POINT (234018 839316)
118,118,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,ZINDE,Un village,EPP ZINDE,211878,839346,ecole,Public,-1,2,-1,-1,1,2,2,2,2,68,32,63,29,66,29,51,27,57,30,32,14,337,337,0,0,60.864371,45.097182,52.394138,53.928496,43.008905,51.607355,337,3,0.657419,21,1,POINT (211878 839346)
119,119,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,DIEVIESSOU,Un village,EPP DIEVIESSOU 2,212162,839358,ecole,Public,-1,2,-1,-1,1,1,2,2,2,38,20,37,18,44,11,49,20,39,10,33,11,240,240,0,0,39.892939,42.229174,36.889079,34.881659,39.277804,32.939556,240,2,0.419612,21,1,POINT (212162 839358)
120,120,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,N'ZOUPOURI,Un village,EPP N'ZOUPOURI,215986,839363,ecole,Public,-1,2,-1,-1,1,1,1,2,2,39,15,45,22,46,17,36,17,26,13,40,17,232,232,0,0,40.436697,30.749054,23.682318,34.420275,28.188845,31.468383,232,2,0.400871,21,1,POINT (215986 839363)
121,121,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,-1,ASRIKRO,Un village,EPP ASRIKRO1,261003,839441,ecole,Public,-1,2,-1,-1,1,2,2,2,1,38,20,38,15,47,19,47,26,27,17,30,9,227,177,50,0,41.7976,40.915694,25.728677,36.029663,38.384556,33.54751,227,2,0.427357,18,1,POINT (261003 839441)
122,122,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,-1,ASRIKRO,Un village,EPP ASRIKRO2,260973,839464,ecole,Public,-1,2,-1,-1,1,2,2,2,1,31,16,36,16,47,23,46,20,24,13,33,13,217,188,29,0,43.463165,39.093058,22.841033,38.478374,35.729196,36.659788,217,2,0.467004,18,1,POINT (260973 839464)
123,123,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,0,BONDOUKOU-PII,Un village,EPP BONDOUKOU-PII,249662,839538,ecole,Public,-1,2,-1,-1,1,1,1,2,2,33,16,27,12,31,8,35,11,42,21,36,13,204,204,0,0,32.707076,33.034813,41.857638,31.966987,33.921559,33.816528,204,2,0.430784,21,1,POINT (249662 839538)
124,124,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,SOKOBO,Un village,EPP SOKOBO,245006,839841,ecole,Public,-1,2,-1,-1,2,1,2,2,2,67,37,45,24,43,19,74,28,50,18,38,13,317,246,71,0,38.660156,63.25574,43.792149,33.64178,57.7942,31.635926,317,2,0.403005,21,1,POINT (245006 839841)
125,125,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,KOUEKRO-DJEHOU,Un village,EPP KOUEKRO-DJEHOU,237787,840110,ecole,Public,-1,2,-1,-1,1,1,1,2,1,56,27,57,25,58,27,28,9,0,0,0,0,199,199,0,0,55.742567,26.60551,3.511546,50.94947,27.404063,50.344807,199,3,0.641335,18,1,POINT (237787 840110)
126,126,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,YOBOUE-N'ZUE,Un village,EPP YOBOUE-N'ZUE 1,226122,840155,ecole,Public,-1,2,-1,-1,1,1,2,2,2,32,8,34,16,60,25,50,21,44,16,27,5,247,200,47,0,55.773844,45.051149,41.658465,49.823788,43.85053,48.215516,247,3,0.61421,21,1,POINT (226122 840155)
127,127,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,YOBOUE-N'ZUE,Un village,EPP YOBOUE-N'ZUE 2,226069,840180,ecole,Public,-1,2,-1,-1,1,1,2,2,2,33,16,36,16,0,0,0,0,0,0,0,0,69,32,28,9,4.740455,3.997356,2.601145,7.729084,7.940104,11.272048,60,1,0.143593,21,1,POINT (226069 840180)
128,128,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,-1,LANGBABOKOHOU,Un village,EPP LANGBA BOKOHOU,314217,840330,ecole,Public,-1,2,-1,-1,1,1,1,2,2,41,22,24,16,37,18,30,15,23,9,8,1,163,121,0,42,36.644519,29.806631,24.826449,34.484553,31.954712,35.390592,121,2,0.450836,21,1,POINT (314217 840330)
129,129,Point,PRIMAIRE,BOUAKE N'GATTAKRO,GBÊKÊ,BOUAKE,BOUAKE,0,ATTIEN KONANKRO,Un village,EPP ATTIEN KONANKRO,266369,840368,ecole,Public,-1,2,-1,-1,1,1,1,2,1,38,24,30,16,36,16,21,9,15,5,29,11,169,169,0,0,34.514894,19.843095,16.128961,31.533495,20.388402,31.207865,169,2,0.397552,18,1,POINT (266369 840368)
130,130,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,YEGUEBO,Un village,EPP YEGUEBO,309406,840428,ecole,Public,-1,2,-1,-1,1,1,2,2,2,30,19,28,17,19,9,23,14,30,11,26,10,156,156,0,0,19.963614,23.044216,31.477579,19.63467,25.07437,21.114462,156,2,0.268974,21,1,POINT (309406 840428)
131,131,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,-1,KOUASSI ATTINKRO,Un village,EPP KOUASSI ATTINKRO,295361,840474,ecole,Public,-1,2,-1,-1,1,1,1,2,2,31,21,30,12,34,15,22,12,20,6,22,11,159,159,0,0,34.739858,23.331296,22.849207,33.385866,26.481819,34.935685,159,2,0.445041,21,1,POINT (295361 840474)
132,132,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,TIENDIEBO,Un village,EPP TIENDIEBO,221664,841106,ecole,Public,-1,2,-1,-1,2,1,2,2,2,60,30,48,24,57,28,40,24,31,13,30,11,266,266,0,0,48.360005,32.931864,27.151133,39.814628,28.843142,34.871363,266,2,0.444221,21,1,POINT (221664 841106)
133,133,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,KOUMABO,Un village,EPP KOUMABO,234282,841121,ecole,Public,-1,2,-1,-1,1,1,1,2,2,17,10,29,12,27,9,24,7,28,17,23,7,148,117,31,0,31.875799,26.199304,30.246122,33.357526,30.297495,37.470313,148,2,0.477329,21,1,POINT (234282 841121)
